newid,state,strtyear,strtmnth,psu,txwgt
04460441,48,2020,3,NA,88714.7732286382
04460442,48,2020,3,NA,88714.7732286382
04460742,48,2020,3,S37A,55668.60978161134
04474331,48,2020,4,S37A,77675.20853706707
04474332,48,2020,4,S37A,77675.20853706707
04479941,48,2020,4,S37B,35296.85338357465
04479942,48,2020,4,S37B,35296.85338357465
04481321,48,2020,4,S37B,262893.48245674826
04481322,48,2020,5,S37B,262893.48245674826
04481521,48,2020,4,S37A,112661.83996185585
04481522,48,2020,5,S37A,112661.83996185585
04481891,48,2020,4,S37B,18686.411612285003
04481892,48,2020,4,S37B,18686.411612285003
04482262,48,2020,4,S37A,117191.47792803637
04482791,48,2020,4,NA,243323.6029556186
04482792,48,2020,4,NA,243323.6029556186
04483221,48,2020,4,S37B,43077.535486853994
04483222,48,2020,5,S37B,43077.535486853994
04484891,48,2020,4,NA,80443.10860144004
04484892,48,2020,4,NA,80443.10860144004
04484981,48,2020,4,S37A,76061.58155419314
04484982,48,2020,4,S37A,70902.21825250308
04485761,48,2020,5,S37A,70484.01609398038
04485762,48,2020,5,S37A,70484.01609398038
04486161,48,2020,4,NA,53346.820233237115
04486162,48,2020,4,NA,53346.820233237115
04486711,48,2020,5,S37B,39158.35989437678
04486712,48,2020,5,S37B,39158.35989437678
04486861,48,2020,4,NA,254493.456067798
04486862,48,2020,4,NA,254493.456067798
04488811,48,2020,5,NA,196203.3738786655
04488812,48,2020,5,NA,196203.3738786655
04490051,48,2020,5,NA,294654.1129803112
04490471,48,2020,5,NA,259199.68577442507
04490472,48,2020,5,NA,259199.68577442507
04490711,48,2020,5,NA,89308.26552689027
04490712,48,2020,5,NA,89308.26552689027
04490841,48,2020,5,S37A,118375.28906249655
04490842,48,2020,5,S37A,118375.28906249655
04490861,48,2020,5,S37B,48094.843137776246
04490862,48,2020,5,S37B,48094.843137776246
04491461,48,2020,5,S37B,179387.44039930796
04491462,48,2020,5,S37B,179387.44039930796
04492471,48,2020,5,S37B,35138.58083533911
04492472,48,2020,5,S37B,35138.58083533911
04492591,48,2020,5,NA,41714.09769977642
04492592,48,2020,5,NA,41714.09769977642
04494301,48,2020,5,NA,178568.2168175572
04494302,48,2020,5,NA,178568.2168175572
04494651,48,2020,5,NA,294589.36912888236
04494652,48,2020,5,NA,294589.36912888236
04495531,48,2020,5,NA,191447.14869253535
04495532,48,2020,5,NA,191447.14869253535
04496731,48,2020,5,S37A,47603.01012851361
04496732,48,2020,5,S37A,47603.01012851361
04497931,48,2020,5,NA,87414.08914075067
04497932,48,2020,5,NA,87414.08914075067
04500391,48,2020,5,S37A,126804.97612058594
04500392,48,2020,6,S37A,126804.97612058594
04502671,48,2020,5,NA,313154.9456021884
04502672,48,2020,5,NA,313154.9456021884
04517001,48,2020,6,S37B,56366.828553375475
04517002,48,2020,6,S37B,56366.828553375475
04517811,48,2020,6,S37A,75397.23797812022
04517812,48,2020,6,S37A,75397.23797812022
04518621,48,2020,6,S37A,40343.11092237049
04518622,48,2020,6,S37A,40343.11092237049
04520271,48,2020,6,S37B,50784.34793760621
04520272,48,2020,6,S37B,50784.34793760621
04520751,48,2020,6,S37B,28494.13114516864
04520752,48,2020,6,S37B,28494.13114516864
04521882,48,2020,6,NA,79109.9459781006
04522001,48,2020,7,S37B,57060.91353036457
04522002,48,2020,7,S37B,57060.91353036457
04522091,48,2020,6,S37B,103671.70051723032
04522092,48,2020,6,S37B,103671.70051723032
04522431,48,2020,6,S37B,68116.01736503816
04522432,48,2020,6,S37B,68116.01736503816
04522451,48,2020,6,S37A,132955.30033501872
04522452,48,2020,7,S37A,132955.30033501872
04522681,48,2020,6,NA,106785.79603695202
04522682,48,2020,6,NA,106785.79603695202
